sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
2:Home,3376,1,1,3,0,58,0.0,11.191481744226905,5.2630418284116445
2:Fib,3376,89,89,94,83,108,0.0,11.190220489771026,6.4645231622814
2:Random,3376,85,87,90,46,233,0.0,11.190628511573482,57299.34653527858
4:Home,4244,1,1,4,0,10,0.0,14.060895205910612,6.6127869993042445
4:Fib,4244,198,187,293,83,490,0.0,14.047398384747783,8.114958977393089
4:Random,4240,82,77,130,46,192,0.0,14.051972413061705,71950.27843473786
8:Home,4502,3,2,6,0,23,0.0,14.910642131340833,7.012615449215386
8:Fib,4502,391,397,524,107,952,0.0,14.898602139150693,8.606551676423674
8:Random,4494,139,124,255,46,371,0.0,14.893320872521922,76258.23310869801
12:Home,4288,2,2,6,0,33,0.0,14.115664173601601,6.63899255228359
12:Fib,4288,709,698,975,111,1663,0.0,14.082656787788025,8.134948308718242
12:Random,4277,134,112,241,46,516,0.0,14.073569527118849,72060.86263673153
16:Home,4492,2,2,5,0,97,0.0,14.783367066528443,6.951943566832864
16:Fib,4492,941,929,1308,121,2567,0.0,14.740289358574275,8.51511560560866
16:Random,4476,134,117,225,46,653,0.0,14.73963598763135,75471.32169508695
24:Home,4425,3,2,6,0,1773,0.0,14.463809424193297,6.801648516764945
24:Fib,4425,1506,1477,2227,127,3864,0.0,14.412929619303227,8.325986064244209
24:Random,4402,141,127,245,46,485,0.0,14.391829155060353,73690.44814802668
32:Home,4466,3,2,6,0,112,0.0,14.506452545450411,6.8235727772986685
32:Fib,4466,2032,1986,3052,130,5872,0.0,14.455741026661878,8.348949836620347
32:Random,4438,157,138,283,46,608,0.0,14.411898421770475,73793.20785781118
48:Home,4245,14,5,26,0,2094,0.0,13.698851168194139,6.441890056231444
48:Fib,4245,3198,3040,4795,111,6359,0.0,13.636057011246132,7.877171891412656
48:Random,4199,272,262,405,48,814,0.0,13.545292373797166,69355.93068428384
56:Home,4486,10,6,27,0,761,0.0,14.378343381506873,6.760744594499306
56:Fib,4485,3539,3469,4801,108,6979,0.0,14.320883584148364,8.27210137812561
56:Random,4438,314,302,450,48,951,0.0,14.219846907551771,72809.85069416075
64:Home,4493,13,7,32,0,1822,0.0,14.313202041375444,6.729556753255752
64:Fib,4493,4063,3938,5365,108,7561,0.0,14.219614396212322,8.212595405012154
64:Random,4430,366,350,513,46,1129,0.0,14.104058020847262,72216.9770030777
96:Home,4331,37,15,64,0,2730,0.0,13.535178651232417,6.370464916276279
96:Fib,4331,6380,5937,9257,107,10603,0.0,13.438291217792782,7.757667443404657
96:Random,4241,602,551,882,47,3343,0.0,13.246253505993765,67824.7627823584
128:Home,4716,41,19,78,0,2364,0.0,14.4638618143007,6.807418211400566
128:Fib,4715,7904,7630,10782,107,14037,0.0,14.306867903459743,8.256365645917915
128:Random,4601,797,750,1139,49,2981,0.0,14.088906172968041,72139.39521885593
256:Home,4822,7303,26,115,0,336039,0.0,13.687120708937218,6.443000141746285
256:Fib,4720,9972,9447,13892,108,15920,0.0,13.304769421580787,7.690170929818751
256:Random,4598,1033,931,1477,50,61176,0.0,13.031845545138141,66726.93044774118
512:Home,6912,10549,28,28219,0,330499,0.11791087962962964,16.75989845130973,11.040898701665563
512:Fib,6802,12285,9312,28207,109,112496,0.10658629814760365,16.453081384942116,12.118426352837806
512:Random,6583,5979,944,28216,49,109917,0.10709403007747227,15.957782054949265,72961.64688947257
1024:Home,11049,15372,64,28281,0,363760,0.3454611277038646,21.410674526354953,21.629938450245227
1024:Fib,10752,16814,10488,28206,113,194341,0.32840401785714285,20.64238677597097,21.742488078839248
1024:Random,10354,11717,1144,28274,49,163901,0.32373961753911534,20.03820302566415,69398.58517702889
1280:Home,13933,16098,84,28318,0,357741,0.4124739826311634,24.2063822985726,27.041072495795635
1280:Fib,13564,17870,10792,28314,109,259888,0.3963432615747567,23.439633094743538,27.05624291758543
1280:Random,13068,13715,1323,28318,47,227989,0.39225589225589225,22.694710298584447,70640.26523095391
1536:Home,13982,17463,132,28284,0,348715,0.45980546416821627,26.316284777510514,31.241326281958983
1536:Fib,13538,18692,11334,28281,108,201485,0.44349239178608363,25.24126306997002,30.811566145631346
1536:Random,12923,14533,1563,28282,53,182539,0.43349067553973536,24.27935062177908,70448.4171057999
2048:Home,23076,18616,27801,28397,0,400648,0.5534321372854915,31.470162260353,42.10974001931086
2048:Fib,22465,20270,22356,28382,108,408687,0.5401736033830403,30.535544379502515,41.651144583814734
2048:Random,21748,17092,22239,28395,1,401472,0.5368769542026853,29.719070875911807,70506.17128312615
TOTAL,370627,9432,917,28252,0,408687,0.22613301243568332,53.99846554126094,70480.71305076133
