sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
2:Home,3237,1,1,3,0,70,0.0,10.726072607260726,5.044246188549578
2:Fib,3237,97,91,114,83,132,0.0,10.724437936084072,6.195510197658315
2:Random,3235,84,86,89,46,233,0.0,10.724989391046044,54915.135578468755
4:Home,3906,1,1,4,0,15,0.0,12.936901966369355,6.08391253825428
4:Fib,3906,223,203,362,108,505,0.0,12.924958472035632,7.466599511177805
4:Random,3902,80,73,127,46,235,0.0,12.928663728836023,66198.60393399924
8:Home,4087,3,2,7,0,77,0.0,13.535577671430227,6.365569086464422
8:Fib,4087,453,417,748,108,1098,0.0,13.520845325764043,7.811052637673105
8:Random,4079,131,107,252,46,366,0.0,13.517275203637304,69212.46960495254
12:Home,4151,3,2,6,0,77,0.0,13.65667173322279,6.423081417130552
12:Fib,4151,738,678,1190,110,1726,0.0,13.645089608562449,7.882326921686193
12:Random,4142,132,107,237,46,539,0.0,13.62526891978131,69765.43000488907
16:Home,4155,2,2,6,0,34,0.0,13.675185544785823,6.432317808185364
16:Fib,4155,1032,973,1601,108,2498,0.0,13.640079181398281,7.8791500371778325
16:Random,4140,130,114,221,46,635,0.0,13.622857443706996,69753.08307382585
24:Home,4186,4,2,6,0,1379,0.0,13.680275043465757,6.433191798983947
24:Fib,4186,1599,1507,2528,160,4269,0.0,13.64820496434708,7.883873085713727
24:Random,4162,141,123,249,47,513,0.0,13.610291761228002,69688.74392777258
32:Home,4348,3,2,6,0,101,0.0,14.12302755094749,6.643163264415363
32:Fib,4348,2092,1994,3310,108,5736,0.0,14.056776704804456,8.119274684223628
32:Random,4316,158,139,281,48,675,0.0,14.024324860032948,71808.71581436272
48:Home,4192,14,5,24,0,2371,0.0,13.52454388540272,6.359844574212386
48:Fib,4192,3247,3039,4887,179,6613,0.0,13.462693373670028,7.7769474659498545
48:Random,4145,267,262,393,49,854,0.0,13.375498152600075,68486.5336980318
56:Home,4018,13,7,33,0,1952,0.0,12.881466781653048,6.056158350191234
56:Fib,4018,4003,3684,5702,108,6756,0.0,12.764592076295283,7.372406695851349
56:Random,3969,314,306,436,46,1007,0.0,12.709869763062922,65078.317965825416
64:Home,4598,14,8,32,0,1756,0.0,14.64373182670841,6.884689270552341
64:Fib,4597,3961,3825,5573,114,7374,0.0,14.549862635623583,8.403528824363503
64:Random,4544,360,340,512,47,1188,0.0,14.466546112115731,74073.02398250261
96:Home,4541,34,14,60,0,2472,0.0,14.191600672546238,6.679444807533643
96:Fib,4541,6102,5853,8128,179,10721,0.0,14.01711934461247,8.092361040372143
96:Random,4451,579,542,815,46,1602,0.0,13.892833844703649,71135.44670191019
128:Home,4646,44,21,73,0,2863,0.0,14.251446310145337,6.7074364430663
128:Fib,4645,7906,7635,11247,179,14060,0.0,14.07285771416799,8.121207694323594
128:Random,4530,931,804,1539,48,4920,0.0,13.873066039469332,71034.22942001569
256:Home,5069,6938,23,101,0,334636,0.0,14.384793947546155,6.77084275570681
256:Fib,4984,9370,8939,12760,180,16230,0.0,14.00668858724672,8.091192050101172
256:Random,4846,1084,926,1613,48,34190,0.0,13.715378998432042,70226.82482026602
512:Home,6540,11801,28,28119,0,358810,0.13027522935779817,15.858659094601508,10.745673252667965
512:Fib,6446,12903,9657,28021,108,94828,0.11960905988209743,15.59879681635478,11.76986842220687
512:Random,6248,5742,945,28029,47,103167,0.11379641485275288,12.840537296746296,58268.56739165925
1024:Home,11072,15166,69,28299,0,345286,0.33815028901734107,21.219711793690433,21.225736479788377
1024:Fib,10821,16764,10540,28249,94,200232,0.3229830884391461,20.6936117724678,21.645487316294236
1024:Random,10419,11950,1097,28213,1,244785,0.3147135041750648,17.71387476346647,62167.056510991795
1280:Home,13695,16200,91,28319,0,345371,0.40708287696239503,23.85211168257098,26.36722151690809
1280:Fib,13336,18070,11218,28313,84,269658,0.3906718656268746,23.08836284878819,26.37466379335344
1280:Random,12874,14056,1302,28315,47,235356,0.38364144787944693,21.946737310817216,69279.66866502704
1536:Home,13767,17624,140,28357,0,348881,0.46444396019466844,25.91684095790843,31.143888710375023
1536:Fib,13267,19106,13344,28287,114,210708,0.4444863194392101,24.904545403349637,30.550728498312413
1536:Random,12683,14884,1534,28290,49,222769,0.4370417093747536,23.89497740122574,68899.00114649745
2048:Home,22806,18846,27610,28242,0,372931,0.555117074454091,30.852439677703885,41.319720439927295
2048:Fib,22181,20746,27501,28237,109,407760,0.5423560705107975,29.780149699593863,40.66092758785621
2048:Random,21442,17634,25102,28237,47,375924,0.5381027889189441,28.996874742210185,68610.83523536084
TOTAL,362239,9682,961,28176,0,407760,0.22813115098043005,51.581907436535595,67202.0379098283
