sampler_label,thread_count,label,sample_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
2:Fib,2,Fib,3193,104,89,179,82,267,0,10.5832908,6.113926936
4:Fib,4,Fib,4229,200,186,308,107,488,0,13.99876861,8.086844439
8:Fib,8,Fib,4190,436,442,585,107,1049,0,13.86003678,8.007148339
12:Fib,12,Fib,4262,717,718,961,122,1732,0,13.99938248,8.086810768
16:Fib,16,Fib,4115,1042,1023,1478,108,2498,0,13.51417921,7.806367921
24:Fib,24,Fib,4113,1640,1607,2397,107,4040,0,13.40861894,7.745375913
32:Fib,32,Fib,4131,2221,2171,3307,110,5696,0,13.3701003,7.724987297
48:Fib,48,Fib,3882,3541,3530,4679,110,6918,0,12.45799998,7.196113614
56:Fib,56,Fib,4048,3963,3987,4948,178,6262,0,12.89923745,7.450226764
64:Fib,64,Fib,4012,4608,4491,6161,113,7316,0,12.65818791,7.310284319
96:Fib,96,Fib,3946,7095,6956,9020,178,10647,0,12.20938508,7.047237882
128:Fib,128,Fib,4212,8944,8590,11985,155,13696,0,12.75571236,7.369717533
256:Fib,256,Fib,4330,11116,10940,15196,106,16374,0,12.12766255,7.010921986
512:Fib,512,Fib,6079,13754,10466,28029,100,72492,0.13110709,14.70342806,11.33321849
1024:Fib,1024,Fib,10225,17954,12644,28184,107,166088,0.344449878,19.29831515,20.76351001
1280:Fib,1280,Fib,12725,18906,13022,28167,177,213697,0.416581532,22.10018635,26.11485623
1536:Fib,1536,Fib,15570,19894,15504,28298,107,271851,0.473795761,24.35464873,30.6721765
2048:Fib,2048,Fib,21587,21284,27755,28194,109,385836,0.558437949,29.08315381,40.24008477
2:Home,2,Home,3193,1,1,3,0,56,0,10.58497484,4.977841956
4:Home,4,Home,4229,1,2,4,0,11,0,14.00706812,6.587452108
8:Home,8,Home,4190,3,2,7,0,90,0,13.87987121,6.527631068
12:Home,12,Home,4262,2,2,6,0,94,0,14.02158179,6.594836183
16:Home,16,Home,4115,2,2,6,0,99,0,13.53760922,6.367568656
24:Home,24,Home,4113,3,2,5,0,791,0,13.4421429,6.321469088
32:Home,32,Home,4131,3,2,6,0,287,0,13.42432367,6.314482162
48:Home,48,Home,3882,15,5,28,0,2307,0,12.52350981,5.888655146
56:Home,56,Home,4049,13,7,34,0,1506,0,12.97793847,6.101569486
64:Home,64,Home,4012,16,9,40,0,1248,0,12.78150696,6.015856594
96:Home,96,Home,3946,40,20,72,0,2115,0,12.33518184,5.805622515
128:Home,128,Home,4212,50,22,89,0,2691,0,12.92785935,6.084881064
256:Home,256,Home,4436,7986,36,127,0,336683,0,12.58318347,5.92361138
512:Home,512,Home,6220,12816,33,28100,0,380776,0.140836013,15.00516255,10.40161662
1024:Home,1024,Home,10506,16355,81,28204,0,390727,0.362364363,20.06121861,20.78102407
1280:Home,1280,Home,13073,17277,107,28217,0,384186,0.432035493,22.85509489,26.2029204
1536:Home,1536,Home,16012,18523,17563,28304,0,390725,0.487821634,25.19115195,30.95257571
2048:Home,2048,Home,22190,19467,27797,28203,0,388853,0.570301938,30.08532083,40.8234621
2:Random,2,Random,3193,80,86,90,46,230,0,10.58364159,54191.39301
4:Random,4,Random,4225,81,75,126,46,220,0,13.99919815,71680.0585
8:Random,8,Random,4183,128,108,245,46,365,0,13.85613208,70947.5176
12:Random,12,Random,4251,125,104,221,46,505,0,13.99068604,71636.47451
16:Random,16,Random,4100,128,110,216,46,701,0,13.4908361,69077.09449
24:Random,24,Random,4090,132,120,226,47,468,0,13.36596939,68437.74066
32:Random,32,Random,4102,146,128,260,47,667,0,13.31818182,68193.05327
48:Random,48,Random,3838,254,255,362,49,582,0,12.37146633,63345.59172
56:Random,56,Random,3998,312,307,443,48,837,0,12.81069459,65594.57111
64:Random,64,Random,3950,356,344,486,46,1048,0,12.56833035,64353.59449
96:Random,96,Random,3852,588,558,794,48,1684,0,12.02513666,61572.2808
128:Random,128,Random,4090,813,736,1103,50,4124,0,12.53075243,64161.18406
256:Random,256,Random,4195,883,868,1157,49,1944,0,11.88607502,60860.24433
512:Random,512,Random,5863,5500,951,28017,48,62467,0.124850759,14.14304668,63378.96462
1024:Random,1024,Random,9807,12268,1063,28205,49,158978,0.340878964,18.68637116,63077.53278
1280:Random,1280,Random,12235,14308,1234,28215,48,203105,0.40866367,21.39902581,64810.15206
1536:Random,1536,Random,14933,15770,1659,28299,47,259842,0.46929619,23.47413412,63809.99287
2048:Random,2048,Random,20849,17868,27745,28198,48,377676,0.553647657,28.24191409,64577.31554
