sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
2:Home,3326,1,1,3,0,69,0.0,11.021456383066855,5.183264642531688
2:Fib,3326,92,89,111,82,130,0.0,11.02047037461647,6.366401077941829
2:Random,3324,84,86,89,46,293,0.0,11.020525895251957,56428.370492865164
4:Home,3975,1,1,4,0,15,0.0,13.167309297611002,6.192239040906441
4:Fib,3975,218,198,356,82,489,0.0,13.155586739168568,7.599924024418092
4:Random,3971,80,72,128,46,224,0.0,13.157938335625175,67372.55820059456
8:Home,3913,3,2,7,0,83,0.0,12.963349467121194,6.096272716091714
8:Fib,3913,479,438,764,107,1005,0.0,12.943410206538852,7.477301275817357
8:Random,3906,132,105,261,46,366,0.0,12.939644805756254,66254.83081444439
12:Home,3751,2,2,6,0,83,0.0,12.339708794715408,5.803289269700438
12:Fib,3751,840,802,1282,120,1777,0.0,12.323006669075857,7.119156345477841
12:Random,3741,124,99,227,46,525,0.0,12.312644404510356,63044.40160028276
16:Home,3836,2,2,6,0,37,0.0,12.620206147580085,5.9357536335320455
16:Fib,3836,1128,1067,1758,133,2539,0.0,12.595467470465008,7.275364010774773
16:Random,3820,131,112,236,46,615,0.0,12.57526228639337,64389.08383854532
24:Home,3616,4,2,6,0,1225,0.0,11.821745342081948,5.5610077743668205
24:Fib,3616,1886,1853,2842,172,4185,0.0,11.782531484709754,6.805437323840402
24:Random,3593,130,114,231,46,579,0.0,11.74743505071047,60150.36292655667
32:Home,3756,3,2,6,0,511,0.0,12.200271550240043,5.7383411642229305
32:Fib,3756,2464,2406,3800,135,5567,0.0,12.14441376366893,7.016543368749151
32:Random,3724,142,127,254,47,648,0.0,12.10470373705099,61979.68406924368
48:Home,3658,17,5,32,0,2162,0.0,11.806131571558131,5.550980206655715
48:Fib,3658,3772,3882,5060,178,6897,0.0,11.722179851181512,6.770726515583641
48:Random,3610,262,259,373,47,1067,0.0,11.65915227305024,59698.331577782454
56:Home,3425,16,8,39,0,2011,0.0,10.97805670767278,5.167048761803414
56:Fib,3425,4738,4855,5812,178,6665,0.0,10.889124864084646,6.28848823775808
56:Random,3371,321,314,422,49,956,0.0,10.803136787388755,55315.27773208537
64:Home,3226,22,13,48,0,2019,0.0,10.27300200301248,4.835136091004914
64:Fib,3225,5797,5794,6696,178,7616,0.0,10.200337797233098,5.889360731387942
64:Random,3167,366,361,469,51,989,0.0,10.08486315219641,51637.502733448295
96:Home,3298,49,23,77,0,2642,0.0,10.302257875073408,4.848816884238607
96:Fib,3296,8621,8548,9939,178,10503,0.0,10.17846279271573,5.8761908102779
96:Random,3207,575,561,748,49,1122,0.0,10.012769637610797,51268.362186774095
128:Home,4066,53,22,92,0,2850,0.0,12.469562123935058,5.869506782777836
128:Fib,4065,9337,9734,12824,177,13665,0.0,12.2570082045066,7.0839981026513135
128:Random,3947,803,751,1099,48,2326,0.0,12.094488381998303,61927.38254593654
256:Home,3741,9486,44,135,0,337231,0.0,10.588195336778766,4.984604211008214
256:Fib,3635,13394,13069,15645,178,16374,0.0,10.143855781439674,5.864416623644811
256:Random,3486,959,923,1293,50,2008,0.0,9.892841737235225,50654.29629301336
512:Home,4990,16432,59,39746,0,388762,0.12945891783567134,11.506206203205597,7.791522142529383
512:Fib,4791,17836,13973,39598,178,74113,0.11605092882487998,10.96926042778055,8.229418219653086
512:Random,4578,6452,947,39408,50,78433,0.1037570991699432,10.517851399163717,48268.99349894675
1024:Home,9748,18094,100,28213,0,447025,0.3929011079195732,18.68105754562946,20.27380782913674
1024:Fib,9468,19308,15256,28197,178,136706,0.3763202365863963,17.91509064453077,20.12438329954228
1024:Random,9053,12737,1188,28202,46,104133,0.3746824257152325,17.33295041164082,55510.07009635866
1280:Home,11595,20551,21589,28177,0,495594,0.48753773178094006,20.01211600296169,24.639413871636815
1280:Fib,11223,21596,15845,28160,178,113884,0.4719771896997238,19.190979572713,24.183602460153452
1280:Random,10738,15440,1499,28160,47,113942,0.4661948221270255,18.538756497973996,50688.44155779431
1536:Home,14726,20748,27520,28235,0,497667,0.5579247589297841,23.15914956256163,31.10742603090534
1536:Fib,14228,21969,25312,28161,177,155287,0.5438571830193983,22.17428979309399,30.31522925631269
1536:Random,13674,16577,24860,28161,49,142419,0.5415386865584321,21.48219949821453,50452.191720473464
2048:Home,20221,21860,27700,28300,0,490725,0.6262301567677168,27.30633983503573,39.612431271218085
2048:Fib,19614,23431,27664,28268,177,275304,0.6166513714693587,26.32370072526399,38.80411673542628
2048:Random,18888,19217,27660,28274,51,264327,0.6111287590004235,25.486095181551995,50777.97697193652
TOTAL,319466,11483,1092,28122,0,497667,0.2757038307675934,45.475282941167514,55413.909211156795
