sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
2:Home,3209,1,1,2,0,95,0.0,10.637275213391897,5.002460222093312
2:Fib,3209,114,109,179,82,190,0.0,10.63660530206103,6.144749263740744
2:Random,3207,65,61,88,46,235,0.0,10.63766269951837,54467.99715775986
4:Home,3552,1,1,3,0,78,0.0,11.7618620299146,5.531261796631048
4:Fib,3551,255,249,380,106,509,0.0,11.755203109120462,6.790894828008567
4:Random,3548,73,64,113,46,187,0.0,11.754377246600077,60185.90794219715
8:Home,3197,1,1,4,0,14,0.0,10.591809486577192,4.981113564606062
8:Fib,3197,656,679,820,112,1071,0.0,10.572894102395354,6.107978151033312
8:Random,3189,91,77,150,46,349,0.0,10.571854798607658,54131.04185767342
12:Home,3115,2,1,4,0,80,0.0,10.247485829519997,4.820053974067117
12:Fib,3114,1060,1067,1349,178,1767,0.0,10.226970432429415,5.907579481524785
12:Random,3104,91,84,142,46,330,0.0,10.21714729610965,52314.83387775137
16:Home,3116,2,1,5,0,31,0.0,10.253102912723588,4.8217942138328045
16:Fib,3116,1441,1444,1912,178,2613,0.0,10.222728182381868,5.905654318372697
16:Random,3101,100,92,154,47,437,0.0,10.20774287416595,52266.68138442719
24:Home,3137,4,2,5,0,1911,0.0,10.254180776924988,4.823326345963377
24:Fib,3137,2201,2200,2959,177,4024,0.0,10.22083786760154,5.905138739443571
24:Random,3113,112,99,189,48,376,0.0,10.182420033821465,52137.02000181741
32:Home,3161,4,1,6,0,1199,0.0,10.265386713777247,4.827690416875049
32:Fib,3161,2958,2943,4139,178,5664,0.0,10.218992260592383,5.903599176111933
32:Random,3129,129,107,237,47,464,0.0,10.168632255590472,52066.424698342154
48:Home,3191,17,6,32,0,1866,0.0,10.294943185850986,4.843889635853889
48:Fib,3191,4364,4408,5242,178,6582,0.0,10.212016961356909,5.897703066245299
48:Random,3143,258,259,358,50,685,0.0,10.146565082644628,51953.43487637102
