sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
2:Home,3149,1,1,3,0,82,0.0,10.439735310108873,4.909729514630216
2:Fib,3149,104,109,114,82,157,0.0,10.438351078640661,6.03014621854241
2:Random,3149,82,85,89,46,265,0.0,10.439043148487018,53451.005919330506
4:Home,3398,1,1,3,0,10,0.0,11.254226959139672,5.292819903388523
4:Fib,3398,276,289,385,107,549,0.0,11.243241812418521,6.494945525037554
4:Random,3394,74,65,116,46,172,0.0,11.245858184227965,57582.13891779531
8:Home,3084,1,1,4,0,75,0.0,10.214220420492031,4.803389090921134
8:Fib,3084,691,696,831,178,1045,0.0,10.196187340064668,5.890202328526181
8:Random,3076,87,75,138,46,297,0.0,10.193869096934549,52195.64248912593
12:Home,3100,2,1,4,0,78,0.0,10.198240639002021,4.796874074756394
12:Fib,3100,1071,1068,1384,177,1811,0.0,10.18212872181439,5.881654821730634
12:Random,3088,97,89,148,47,432,0.0,10.164849633960078,52047.05427047948
16:Home,3099,2,1,4,0,48,0.0,10.195118581171105,4.794482409184818
16:Fib,3099,1457,1448,1941,178,2601,0.0,10.177105945019326,5.879255367076947
16:Random,3087,102,94,162,48,374,0.0,10.155440414507773,51998.87707600851
24:Home,3123,4,2,6,0,1222,0.0,10.209919608734172,4.802507946361143
24:Fib,3123,2216,2209,3015,178,4140,0.0,10.169491525423728,5.875697946685879
24:Random,3099,120,108,208,48,378,0.0,10.13775438435796,51908.318582034146
32:Home,3144,4,2,6,0,574,0.0,10.210278476901843,4.80175709892831
32:Fib,3144,2980,2968,4163,178,5812,0.0,10.16883368911314,5.874602400907238
32:Random,3114,131,112,242,48,536,0.0,10.116137415739463,51797.63537204073
48:Home,3806,13,6,29,0,1824,0.0,12.28982811677597,5.778654637585691
48:Fib,3806,3595,3741,4993,177,6791,0.0,12.182864605673386,7.037066749678303
48:Random,3760,283,276,400,48,902,0.0,12.131732546921734,62118.08333951751
56:Home,3188,20,10,42,0,2545,0.0,10.219783037981177,4.8101331889698145
56:Fib,3188,5087,5144,5877,178,6591,0.0,10.166821337568447,5.870891853148748
56:Random,3143,330,329,429,50,789,0.0,10.067232327891325,51547.2277093473
64:Home,3215,23,15,51,0,1683,0.0,10.240353682386592,4.819768331905311
64:Fib,3215,5808,5810,6665,178,7533,0.0,10.170188535998989,5.871929567885613
64:Random,3153,376,375,480,47,666,0.0,10.043896254483597,51427.74001496092
96:Home,3288,48,25,79,0,2308,0.0,10.274967890725343,4.835977319211503
96:Fib,3287,8625,8670,9872,178,10496,0.0,10.141868917809825,5.8551505872379686
96:Random,3193,601,596,773,51,1118,0.0,9.982492340398926,51113.33342431552
128:Home,3854,55,24,102,0,2336,0.0,11.820925553319919,5.564452118580385
128:Fib,3853,9862,10544,13078,178,13871,0.0,11.597212816229476,6.704335903991151
128:Random,3740,852,808,1170,49,2698,0.0,11.456999491480772,58663.24979781766
256:Home,3726,9541,49,138,0,337544,0.0,10.523045639403525,4.953936522113647
256:Fib,3620,13419,13095,15553,178,16733,0.0,10.12816889980667,5.855347645200731
256:Random,3470,959,936,1233,50,2349,0.0,9.868692355602828,50530.64426612443
512:Home,5231,15414,64,28043,0,389446,0.17013955266679412,12.714006552659466,9.39217355873696
512:Fib,5019,16957,14433,27947,178,61150,0.16397688782626021,12.051172462146496,9.87378047984388
512:Random,4797,6352,1050,27931,48,61058,0.15509693558474047,11.641791044776118,50367.906217293865
1024:Home,9545,18700,104,28645,0,450743,0.38847564169722365,18.230957292382914,19.69933006723203
1024:Fib,9238,19596,15283,28617,177,129979,0.370101753626326,17.49962587398678,19.51963255852941
1024:Random,8858,13137,1218,28622,48,102985,0.36667419282004965,16.907000047716753,54838.957118668586
1280:Home,11634,20614,21525,28166,0,497821,0.4936393329895135,20.212760412594665,25.123620514718276
1280:Fib,11253,21488,16079,28154,178,142117,0.47773926952812584,19.284223370017855,24.50873250048412
1280:Random,10780,15277,2011,28161,48,118987,0.47244897959183674,18.69615965618491,50520.37852813052
1536:Home,12594,20147,21775,28179,0,442280,0.5229474352866444,23.33103616921948,30.232071684835564
1536:Fib,12151,21155,19730,28145,178,139583,0.5053082050860012,22.29030038981885,29.40364523618436
1536:Random,11578,15879,17691,28178,48,120956,0.5016410433580929,21.43887476460382,54728.64650734392
2048:Home,20837,21291,27730,28253,0,497300,0.6146758170561981,28.011012440078183,40.13350295147711
2048:Fib,20216,22609,27673,28233,178,279386,0.6024930747922438,27.01929682467128,39.264060257135064
2048:Random,19472,18573,27624,28229,49,270363,0.5991680361544782,26.174576034239873,53752.06679789996
TOTAL,301909,11647,1264,28149,0,497821,0.2790012884677171,43.696058180167704,52941.93328748801
