sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
2:Home,3308,1,1,3,0,66,0.0,10.963843841455128,5.156145391075802
2:Fib,3308,103,91,129,82,258,0.0,10.959884437494201,6.3313752472434635
2:Random,3306,75,82,88,46,231,0.0,10.963174213659201,56134.712799852015
4:Home,4346,1,2,4,0,76,0.0,14.391062044484475,6.767812602444428
4:Fib,4345,192,186,251,107,579,0.0,14.382607141320287,8.308725289720988
4:Random,4342,81,76,127,46,228,0.0,14.38658224241159,73663.58039084218
8:Home,4341,2,2,6,0,18,0.0,14.375362198857522,6.760794172737809
8:Fib,4341,423,436,559,108,719,0.0,14.358814909881154,8.294622881611721
8:Random,4334,127,111,231,46,354,0.0,14.355176342775378,73502.77284854528
12:Home,4253,2,2,6,0,85,0.0,13.991328205701803,6.580595965855633
12:Fib,4253,724,735,957,113,1325,0.0,13.974226702503072,8.072265509485915
12:Random,4241,126,108,217,46,490,0.0,13.957590776997785,71467.01690038164
16:Home,4196,2,2,5,0,54,0.0,13.803403479799856,6.492422068010382
16:Fib,4196,1024,1032,1393,108,1895,0.0,13.779695638181185,7.95985059612947
16:Random,4181,126,113,208,46,465,0.0,13.756638129018247,70438.08000729413
24:Home,3995,4,2,6,0,1224,0.0,13.057433094954831,6.141945374702571
24:Fib,3995,1683,1638,2525,115,4244,0.0,13.032131789267655,7.527740682596639
24:Random,3972,140,126,240,46,640,0.0,12.983913937440546,66481.50301554936
32:Home,4266,3,2,6,0,109,0.0,13.854292849742952,6.516739563610885
32:Fib,4266,2134,2117,3227,107,4612,0.0,13.810026351058251,7.977699931370708
32:Random,4237,158,144,277,46,550,0.0,13.758816423552028,70449.23358484021
48:Home,4183,16,5,26,0,2773,0.0,13.494462528106743,6.345685665399914
48:Fib,4183,3259,3357,4105,124,5267,0.0,13.436680886056433,7.761907668191396
48:Random,4141,259,261,377,46,723,0.0,13.356987339730667,68391.75282298304
56:Home,4115,13,6,35,0,1587,0.0,13.196589090605888,6.204485146621642
56:Fib,4115,3895,3850,5256,113,6985,0.0,13.114660054625826,7.574766908031653
56:Random,4065,310,312,437,47,658,0.0,13.02442119023665,66688.91496210922
64:Home,4138,16,8,41,0,1320,0.0,13.18040076317642,6.202929806323279
64:Fib,4138,4454,4359,5959,107,8107,0.0,13.086778179426117,7.557933498538885
64:Random,4076,355,355,488,51,802,0.0,12.979775624388985,66460.31676130257
96:Home,4199,43,16,71,0,2917,0.0,13.122449107148437,6.1761918392523425
96:Fib,4199,6656,6507,8571,124,11574,0.0,12.993885230479775,7.50077556382136
96:Random,4115,552,542,739,47,1511,0.0,12.838792810276027,65738.44265811275
128:Home,4167,53,27,106,0,2151,0.0,12.787817969231902,6.019113037889319
128:Fib,4167,9125,8998,12188,111,15058,0.0,12.611909128879365,7.288180146836279
128:Random,4049,742,735,969,52,1693,0.0,12.40521454066392,63518.39282816354
256:Home,4463,7936,37,137,0,336686,0.0,12.665484214260376,5.962350900141894
256:Fib,4359,11022,10521,15671,107,18006,0.0,12.243178339208225,7.07779673171177
256:Random,4231,869,870,1117,47,6698,0.0,11.991712652376377,61401.140489000274
512:Home,6268,12614,47,28414,0,377937,0.13529036375239312,15.217802984320905,10.425551419264067
512:Fib,6158,13794,10500,28313,108,91119,0.12390386489119844,14.812712280262867,11.263985202622413
512:Random,5938,5442,896,28309,49,81169,0.11923206466823846,14.412761288944553,65002.11481877251
1024:Home,10247,16724,95,28646,0,387724,0.36430174685273736,19.636625650833317,20.458710306234202
1024:Fib,9962,18463,11631,28608,114,176702,0.3469182895001004,18.91841079272357,20.477883798926843
1024:Random,9558,12540,1010,28605,50,153214,0.3396107972379159,18.31399359259316,61939.45643699248
1280:Home,12911,17544,123,28540,0,392619,0.4259158856788785,22.501420390180314,25.549125403460526
1280:Fib,12574,19276,12490,28527,111,245823,0.4097343725147129,21.75131469692776,25.489514454098046
1280:Random,12093,14346,1077,28528,49,217496,0.40229885057471265,21.05261325376294,64446.80836019839
1536:Home,15758,18820,17974,28576,0,390986,0.4876253331641071,24.640162620695047,30.292419789101288
1536:Fib,15322,20533,16936,28571,121,258759,0.471609450463386,23.77807953443259,29.900039403491757
1536:Random,14713,16035,1319,28570,47,259631,0.466254332902875,22.885754772596826,62566.91653352338
2048:Home,21974,19703,28424,28629,0,380689,0.5645763174660963,29.59222150398621,39.82350226749354
2048:Fib,21389,21704,28421,28626,106,389550,0.5521062228248165,28.691889165521978,39.37732649373484
2048:Random,20640,18011,28414,28628,47,367189,0.5473352713178294,27.74544095624985,64338.466075466444
TOTAL,356630,10292,900,28557,0,392619,0.23989008215797886,51.005748462125844,65401.70200496196
