ts=1404982014, bytes_sent=14419596, bytes_recv=14419596, packets_sent=90917, packets_recv=90917, errin=0, errout=0, dropin=0, dropout=0
ts=1404982019, bytes_sent=14419644, bytes_recv=14419644, packets_sent=90918, packets_recv=90918, errin=0, errout=0, dropin=0, dropout=0
ts=1404982024, bytes_sent=14420532, bytes_recv=14420532, packets_sent=90930, packets_recv=90930, errin=0, errout=0, dropin=0, dropout=0
ts=1404982029, bytes_sent=14420580, bytes_recv=14420580, packets_sent=90931, packets_recv=90931, errin=0, errout=0, dropin=0, dropout=0
ts=1404982034, bytes_sent=14421516, bytes_recv=14421516, packets_sent=90944, packets_recv=90944, errin=0, errout=0, dropin=0, dropout=0
ts=1404982039, bytes_sent=14421516, bytes_recv=14421516, packets_sent=90944, packets_recv=90944, errin=0, errout=0, dropin=0, dropout=0
ts=1404982044, bytes_sent=14422780, bytes_recv=14422780, packets_sent=90961, packets_recv=90961, errin=0, errout=0, dropin=0, dropout=0
ts=1404982049, bytes_sent=14422992, bytes_recv=14422992, packets_sent=90964, packets_recv=90964, errin=0, errout=0, dropin=0, dropout=0
ts=1404982054, bytes_sent=14424092, bytes_recv=14424092, packets_sent=90979, packets_recv=90979, errin=0, errout=0, dropin=0, dropout=0
ts=1404982059, bytes_sent=14424092, bytes_recv=14424092, packets_sent=90979, packets_recv=90979, errin=0, errout=0, dropin=0, dropout=0
ts=1404982064, bytes_sent=14425028, bytes_recv=14425028, packets_sent=90992, packets_recv=90992, errin=0, errout=0, dropin=0, dropout=0
ts=1404982069, bytes_sent=14425076, bytes_recv=14425076, packets_sent=90993, packets_recv=90993, errin=0, errout=0, dropin=0, dropout=0
ts=1404982074, bytes_sent=14425964, bytes_recv=14425964, packets_sent=91005, packets_recv=91005, errin=0, errout=0, dropin=0, dropout=0
ts=1404982079, bytes_sent=14426012, bytes_recv=14426012, packets_sent=91006, packets_recv=91006, errin=0, errout=0, dropin=0, dropout=0
ts=1404982084, bytes_sent=14426948, bytes_recv=14426948, packets_sent=91019, packets_recv=91019, errin=0, errout=0, dropin=0, dropout=0
