ts=1404986992, bytes_sent=150617657, bytes_recv=150617657, packets_sent=633432, packets_recv=633432, errin=0, errout=0, dropin=0, dropout=0
ts=1404986997, bytes_sent=150618097, bytes_recv=150618097, packets_sent=633436, packets_recv=633436, errin=0, errout=0, dropin=0, dropout=0
ts=1404987002, bytes_sent=150618097, bytes_recv=150618097, packets_sent=633436, packets_recv=633436, errin=0, errout=0, dropin=0, dropout=0
ts=1404987007, bytes_sent=150618311, bytes_recv=150618311, packets_sent=633438, packets_recv=633438, errin=0, errout=0, dropin=0, dropout=0
ts=1404987012, bytes_sent=150618311, bytes_recv=150618311, packets_sent=633438, packets_recv=633438, errin=0, errout=0, dropin=0, dropout=0
ts=1404987017, bytes_sent=150618311, bytes_recv=150618311, packets_sent=633438, packets_recv=633438, errin=0, errout=0, dropin=0, dropout=0
ts=1404987022, bytes_sent=150618311, bytes_recv=150618311, packets_sent=633438, packets_recv=633438, errin=0, errout=0, dropin=0, dropout=0
ts=1404987027, bytes_sent=150618311, bytes_recv=150618311, packets_sent=633438, packets_recv=633438, errin=0, errout=0, dropin=0, dropout=0
ts=1404987032, bytes_sent=150618311, bytes_recv=150618311, packets_sent=633438, packets_recv=633438, errin=0, errout=0, dropin=0, dropout=0
ts=1404987037, bytes_sent=180664489, bytes_recv=180664489, packets_sent=659266, packets_recv=659266, errin=0, errout=0, dropin=0, dropout=0
ts=1404987042, bytes_sent=180763206, bytes_recv=180763206, packets_sent=660906, packets_recv=660906, errin=0, errout=0, dropin=0, dropout=0
ts=1404987047, bytes_sent=180845142, bytes_recv=180845142, packets_sent=662260, packets_recv=662260, errin=0, errout=0, dropin=0, dropout=0
ts=1404987052, bytes_sent=180845142, bytes_recv=180845142, packets_sent=662260, packets_recv=662260, errin=0, errout=0, dropin=0, dropout=0
ts=1404987057, bytes_sent=181119480, bytes_recv=181119480, packets_sent=666935, packets_recv=666935, errin=0, errout=0, dropin=0, dropout=0
ts=1404987062, bytes_sent=181273359, bytes_recv=181273359, packets_sent=669394, packets_recv=669394, errin=0, errout=0, dropin=0, dropout=0
ts=1404987067, bytes_sent=181273359, bytes_recv=181273359, packets_sent=669394, packets_recv=669394, errin=0, errout=0, dropin=0, dropout=0
ts=1404987072, bytes_sent=181273359, bytes_recv=181273359, packets_sent=669394, packets_recv=669394, errin=0, errout=0, dropin=0, dropout=0
ts=1404987077, bytes_sent=181273359, bytes_recv=181273359, packets_sent=669394, packets_recv=669394, errin=0, errout=0, dropin=0, dropout=0
ts=1404987082, bytes_sent=181320379, bytes_recv=181320379, packets_sent=670196, packets_recv=670196, errin=0, errout=0, dropin=0, dropout=0
ts=1404987087, bytes_sent=181320379, bytes_recv=181320379, packets_sent=670196, packets_recv=670196, errin=0, errout=0, dropin=0, dropout=0
ts=1404987092, bytes_sent=181320593, bytes_recv=181320593, packets_sent=670198, packets_recv=670198, errin=0, errout=0, dropin=0, dropout=0
ts=1404987097, bytes_sent=181750401, bytes_recv=181750401, packets_sent=676147, packets_recv=676147, errin=0, errout=0, dropin=0, dropout=0
ts=1404987102, bytes_sent=181803852, bytes_recv=181803852, packets_sent=676977, packets_recv=676977, errin=0, errout=0, dropin=0, dropout=0
ts=1404987107, bytes_sent=181805262, bytes_recv=181805262, packets_sent=676989, packets_recv=676989, errin=0, errout=0, dropin=0, dropout=0
ts=1404987112, bytes_sent=181925654, bytes_recv=181925654, packets_sent=679043, packets_recv=679043, errin=0, errout=0, dropin=0, dropout=0
ts=1404987117, bytes_sent=181980632, bytes_recv=181980632, packets_sent=679981, packets_recv=679981, errin=0, errout=0, dropin=0, dropout=0
ts=1404987122, bytes_sent=181998574, bytes_recv=181998574, packets_sent=680238, packets_recv=680238, errin=0, errout=0, dropin=0, dropout=0
ts=1404987127, bytes_sent=181999630, bytes_recv=181999630, packets_sent=680256, packets_recv=680256, errin=0, errout=0, dropin=0, dropout=0
ts=1404987132, bytes_sent=181999630, bytes_recv=181999630, packets_sent=680256, packets_recv=680256, errin=0, errout=0, dropin=0, dropout=0
ts=1404987137, bytes_sent=182000156, bytes_recv=182000156, packets_sent=680265, packets_recv=680265, errin=0, errout=0, dropin=0, dropout=0
ts=1404987142, bytes_sent=182000370, bytes_recv=182000370, packets_sent=680267, packets_recv=680267, errin=0, errout=0, dropin=0, dropout=0
ts=1404987147, bytes_sent=182050604, bytes_recv=182050604, packets_sent=681121, packets_recv=681121, errin=0, errout=0, dropin=0, dropout=0
ts=1404987152, bytes_sent=182055114, bytes_recv=182055114, packets_sent=681159, packets_recv=681159, errin=0, errout=0, dropin=0, dropout=0
ts=1404987157, bytes_sent=182338254, bytes_recv=182338254, packets_sent=682802, packets_recv=682802, errin=0, errout=0, dropin=0, dropout=0
ts=1404987162, bytes_sent=182358249, bytes_recv=182358249, packets_sent=683060, packets_recv=683060, errin=0, errout=0, dropin=0, dropout=0
ts=1404987167, bytes_sent=182400717, bytes_recv=182400717, packets_sent=683759, packets_recv=683759, errin=0, errout=0, dropin=0, dropout=0
ts=1404987172, bytes_sent=182400717, bytes_recv=182400717, packets_sent=683759, packets_recv=683759, errin=0, errout=0, dropin=0, dropout=0
ts=1404987177, bytes_sent=182442881, bytes_recv=182442881, packets_sent=684475, packets_recv=684475, errin=0, errout=0, dropin=0, dropout=0
ts=1404987182, bytes_sent=182588377, bytes_recv=182588377, packets_sent=686854, packets_recv=686854, errin=0, errout=0, dropin=0, dropout=0
ts=1404987187, bytes_sent=182588377, bytes_recv=182588377, packets_sent=686854, packets_recv=686854, errin=0, errout=0, dropin=0, dropout=0
ts=1404987192, bytes_sent=182690343, bytes_recv=182690343, packets_sent=688599, packets_recv=688599, errin=0, errout=0, dropin=0, dropout=0
ts=1404987197, bytes_sent=183097477, bytes_recv=183097477, packets_sent=695557, packets_recv=695557, errin=0, errout=0, dropin=0, dropout=0
ts=1404987202, bytes_sent=183247903, bytes_recv=183247903, packets_sent=698122, packets_recv=698122, errin=0, errout=0, dropin=0, dropout=0
ts=1404987207, bytes_sent=183248117, bytes_recv=183248117, packets_sent=698124, packets_recv=698124, errin=0, errout=0, dropin=0, dropout=0
ts=1404987212, bytes_sent=183249313, bytes_recv=183249313, packets_sent=698134, packets_recv=698134, errin=0, errout=0, dropin=0, dropout=0
ts=1404987217, bytes_sent=183386091, bytes_recv=183386091, packets_sent=699086, packets_recv=699086, errin=0, errout=0, dropin=0, dropout=0
ts=1404987222, bytes_sent=183681808, bytes_recv=183681808, packets_sent=704062, packets_recv=704062, errin=0, errout=0, dropin=0, dropout=0
ts=1404987227, bytes_sent=183786632, bytes_recv=183786632, packets_sent=705840, packets_recv=705840, errin=0, errout=0, dropin=0, dropout=0
ts=1404987232, bytes_sent=183829486, bytes_recv=183829486, packets_sent=706571, packets_recv=706571, errin=0, errout=0, dropin=0, dropout=0
ts=1404987237, bytes_sent=183829486, bytes_recv=183829486, packets_sent=706571, packets_recv=706571, errin=0, errout=0, dropin=0, dropout=0
ts=1404987242, bytes_sent=183893880, bytes_recv=183893880, packets_sent=707626, packets_recv=707626, errin=0, errout=0, dropin=0, dropout=0
ts=1404987247, bytes_sent=183894308, bytes_recv=183894308, packets_sent=707630, packets_recv=707630, errin=0, errout=0, dropin=0, dropout=0
ts=1404987252, bytes_sent=183988862, bytes_recv=183988862, packets_sent=709248, packets_recv=709248, errin=0, errout=0, dropin=0, dropout=0
